year,month,MKT,REG,PEAD,HMLM,STR,ILR,SMB,EPRD
1982,5,-0.0399,0.009597,0.0049,0.020282167,0.0199,0.007532,0.0064,-0.016573
1982,6,-0.0309,0.034237,0.0256,0.000820739,0.0015,0.022517,-0.0052,0.029771
1982,7,-0.0319,0.038311,0.03,-0.01073765,-0.0283,0.051071,0.0095,0.045655
1982,8,0.1114,-0.029382,-0.01,0.022918094,0.0114,-0.050211,-0.0433,-0.008819
1982,9,0.0129,0.035036,0.0195,-0.001793046,0.0452,0.010199,0.0262,0.031387
1982,10,0.113,-0.009991,0,-0.026750351,0.0297,0.054367,0.0194,-0.03551
1982,11,0.0467,0.038231,0.0535,-0.043517955,-0.0448,0.089663,0.0442,0.041512
1982,12,0.0055,-0.002713,-0.0295,0.009791833,0.038,-0.020722,-7.00E-04,-0.027129
1983,1,0.036,-0.01897,0.0145,0.013123597,0.0318,0.032101,0.0333,-0.035132
1983,2,0.0259,0.020265,0.015,-0.008692756,0.0263,-0.100584,0.0293,0.026109
1983,3,0.0282,0.020409,0.0053,0.015237072,0.0034,0.009621,0.0138,0.021932
1983,4,0.0667,0.023291,0.0072,0.00361367,-0.0055,0.010063,0.0047,-0.060583
1983,5,0.0052,-0.038352,-0.0041,0.003082195,0.0273,-0.048559,0.0633,-0.052202
1983,6,0.0307,0.026153,0.0175,-0.039411577,0.0018,0.027585,0.0119,-0.011215
1983,7,-0.0407,0.029737,0.0152,0.058756311,0.0207,-0.020339,0.0101,-0.02303
1983,8,-0.005,0.003917,-0.013,0.052673204,-0.0065,0.004984,-0.0432,-0.010313
1983,9,0.0091,0.029064,0.0221,0.01413645,0.0236,-0.034658,0.0031,0.018462
1983,10,-0.0344,0.037354,0.0183,0.050532643,-0.0163,0.080646,-0.0378,-0.000591
1983,11,0.0216,-0.017498,-4.00E-04,-0.001625262,0.0494,-0.06985,0.0189,0.007968
1983,12,-0.0178,0.010785,-6.00E-04,0.019652896,0.0197,0.002278,-0.0045,-0.018382
1984,1,-0.0192,0.008835,-0.0155,0.092739283,0.0064,0.026049,-3.00E-04,-0.019297
1984,2,-0.0482,0.006762,0.0312,0.031452477,-0.0206,0.02771,-0.016,0.003245
1984,3,0.0063,0.012598,-0.0144,0.005014358,0.0251,-0.017813,-0.0029,0.006689
