year,month,rank_EPRD,nstocks,ret_vw
1974,9,3,77,-10.2732
1974,9,4,82,-9.8288
1974,9,5,82,-13.4839
1974,9,6,90,-7.2599
1974,9,7,94,-8.7275
1974,9,8,92,-8.6666
1974,9,9,90,-6.6081
1974,9,10,85,-10.2606
1974,10,1,81,25.8128
1974,10,2,83,19.2890
1974,10,3,77,15.0843
1974,10,4,83,14.1115
1974,10,5,82,12.8256
1974,10,6,89,16.0348
1974,10,7,94,15.9356
1974,10,8,92,8.7931
1974,10,9,90,12.8131
1974,10,10,85,1.1506
1974,11,1,81,-4.2124
1974,11,2,83,-4.4732
1974,11,3,77,-6.7294
1974,11,4,83,-5.7638
1974,11,5,82,-3.4579
1974,11,6,89,-4.9408
1974,11,7,93,-1.5005
1974,11,8,91,-4.3123
1974,11,9,90,-4.6125
1974,11,10,86,-4.6421
1974,12,1,81,-2.6147
1974,12,2,83,-1.6917
1974,12,3,77,-3.2527
1974,12,4,83,-1.9214
1974,12,5,82,-2.7492
1974,12,6,89,-3.2497
1974,12,7,93,-0.8526
1974,12,8,91,-4.9361
